make,manufactured,reg_date,type_of_vehicle,category,transmission,curb_weight,power,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,price,estimated_price,registration_year
Hyundai,2018.0,2018-10-24,mid-sized sedan,"parf car, premium ad car, low mileage car, sgcarmart warranty cars",auto,1345.0,93.0,1591.0,1.0,16820.0,25556,738.0,18796.0,55000.0,10937.0,10937.0,78800.0,86800,2018
mercedes-benz,1965.0,1967-07-22,sports car,"imported used vehicle, coe car, rare & exotic, vintage cars",manual,,,2306.0,6.0,,3357,,,90092.0,,,218000.0,250000,1967
toyota,2016.0,2017-01-19,van,-,auto,1800.0,,2982.0,3.0,18430.0,31539,,7509.0,98000.0,40999.0,2050.0,43888.0,102888,2017
bmw,2017.0,2017-10-31,mpv,"parf car, premium ad car",auto,1480.0,75.0,1499.0,1.0,17130.0,41761,684.0,35062.0,73718.0,28741.0,32238.0,74000.0,175000,2017
bmw,2023.0,2023-11-22,suv,"parf car, almost new car, premium ad car, hybrid cars",auto,2165.0,289.0,2998.0,1.0,37680.0,152000,2384.0,255169.0,6500.0,95433.0,185386.0,415800.0,288000,2023
toyota,2010.0,2011-04-01,suv,"coe car, direct owner sale",auto,2100.0,120.0,2693.0,4.0,22890.0,40714,2836.0,26325.0,134000.0,36845.0,36845.0,148000.0,184000,2011
nissan,2015.0,2015-09-10,luxury sedan,parf car,auto,1470.0,100.0,1997.0,1.0,12430.0,62140,1210.0,21097.0,123000.0,24401.0,26162.0,26500.0,103000,2015
porsche,2013.0,2014-02-03,sports car,"coe car, consignment car, low mileage car",auto,1425.0,232.0,3436.0,3.0,24760.0,113742,3375.0,90994.0,72000.0,89435.0,132983.0,234800.0,261000,2014
mercedes-benz,2020.0,2023-03-13,suv,"parf car, sta evaluated car, hybrid cars",auto,1805.0,200.0,1991.0,1.0,25930.0,115501,1202.0,134651.0,19339.0,44386.0,56334.0,252800.0,377000,2023
mercedes-benz,2018.0,2019-04-12,hatchback,parf car,auto,1365.0,100.0,1332.0,3.0,17330.0,35403,586.0,41336.0,78000.0,30464.0,34650.0,100933.0,185000,2019
honda,2015.0,2016-05-24,suv,"parf car, low mileage car",auto,1190.0,96.0,1496.0,2.0,15700.0,47020,682.0,14984.0,62000.0,20488.0,10684.0,35800.0,120000,2016
hyundai,2008.0,2009-01-12,hatchback,"coe car, low mileage car",auto,1314.0,89.0,1591.0,3.0,10900.0,26047,1107.0,11925.0,129000.0,13665.0,1666.0,49888.0,83500,2009
audi,2016.0,2016-11-25,luxury sedan,"parf car, direct owner sale",auto,1585.0,185.0,1984.0,4.0,20870.0,53001,1194.0,47461.0,105000.0,46778.0,57490.0,79800.0,197500,2016
toyota,2022.0,2022-11-14,bus/mini bus,-,auto,1980.0,,2754.0,2.0,14590.0,56089,,47222.0,30000.0,37098.0,1855.0,122800.0,142800,2022
lexus,2016.0,2017-01-05,luxury sedan,"parf car, direct owner sale, hybrid cars",auto,1705.0,151.0,2494.0,3.0,20570.0,50389,1792.0,42626.0,88213.0,45633.0,50887.0,74800.0,246000,2017
hyundai,2017.0,2017-11-03,mid-sized sedan,"parf car, premium ad car",auto,1345.0,93.0,1591.0,1.0,12920.0,42902,738.0,20836.0,72000.0,10265.0,10265.0,47800.0,91000,2017
honda,2022.0,2024-03-13,van,"almost new car, premium ad car, low mileage car",auto,920.0,,658.0,1.0,8730.0,58961,,57459.0,13.0,17065.0,854.0,85088.0,116000,2024
fiat,2016.0,2017-03-21,van,premium ad car,auto,1500.0,,1598.0,1.0,9330.0,45476,,12559.0,98000.0,19169.0,959.0,25800.0,100000,2017
mitsubishi,2018.0,2018-05-09,suv,"parf car, premium ad car",auto,1480.0,110.0,1998.0,2.0,17100.0,37010,1210.0,26779.0,133000.0,19468.0,19468.0,75000.0,118000,2018
mitsubishi,2008.0,2008-02-18,sports car,"coe car, premium ad car, low mileage car",auto,1550.0,206.0,1998.0,5.0,34240.0,50578,1815.0,18596.0,143500.0,47690.0,52459.0,125888.0,83000,2008
toyota,2018.0,2018-05-22,mpv,"parf car, hybrid cars",auto,1610.0,100.0,1797.0,1.0,22790.0,38501,974.0,31729.0,88000.0,31427.0,25998.0,100800.0,182888,2018
hyundai,2016.0,2017-01-23,suv,"parf car, low mileage car",auto,1891.0,138.0,2359.0,1.0,16220.0,46229,1634.0,31925.0,57000.0,30240.0,34336.0,56888.0,200000,2017
nissan,2017.0,2017-11-22,suv,"parf car, sgcarmart warranty cars",auto,1325.0,85.0,1197.0,1.0,13870.0,41761,508.0,23592.0,129728.0,19750.0,14750.0,53888.0,124800,2017
toyota,2014.0,2015-05-11,truck,-,manual,2320.0,,2982.0,2.0,21970.0,53001,,4777.0,112168.0,27856.0,1393.0,19800.0,110000,2015
opel,2023.0,2023-10-16,van,"almost new car, premium ad car, electric cars",auto,2100.0,,,2.0,11080.0,31115,,29061.0,5200.0,49713.0,2486.0,103500.0,185000,2023
audi,2016.0,2016-06-30,hatchback,parf car,auto,1300.0,92.0,1395.0,2.0,14800.0,55200,624.0,19120.0,106825.0,24195.0,15873.0,35800.0,173800,2016
honda,2008.0,2009-04-23,mpv,coe car,auto,1350.0,103.0,1799.0,4.0,11820.0,31933,1467.0,15039.0,145000.0,22465.0,22465.0,55688.0,72000,2009
peugeot,2017.0,2017-08-18,hatchback,parf car,auto,1190.0,96.0,1199.0,1.0,14490.0,44002,508.0,20250.0,102000.0,19677.0,9677.0,50800.0,117000,2017
volkswagen,2008.0,2009-04-28,sports car,coe car,auto,1391.0,147.0,1984.0,6.0,15020.0,32279,1791.0,14141.0,145000.0,31950.0,31950.0,65800.0,190000,2009
alfa romeo,2015.0,2015-09-28,hatchback,"parf car, premium ad car, low mileage car",auto,1310.0,125.0,1368.0,1.0,14420.0,60001,608.0,18920.0,68000.0,29081.0,22714.0,26800.0,127000,2015
toyota,2011.0,2011-02-16,mid-sized sedan,"coe car, low mileage car",auto,1195.0,90.0,1598.0,2.0,9710.0,37303,1039.0,24119.0,118000.0,15510.0,15510.0,62800.0,123000,2011
toyota,2021.0,2021-10-29,truck,-,manual,1800.0,,2755.0,1.0,12860.0,34502,,25437.0,32539.0,31609.0,1581.0,94822.0,115000,2021
byd,2019.0,2022-01-14,hatchback,"parf car, electric cars",auto,2420.0,90.0,,1.0,13300.0,57599,1443.0,43207.0,37922.0,28000.0,,99800.0,145000,2022
audi,2018.0,2019-04-24,suv,"parf car, premium ad car",auto,1315.0,85.0,999.0,2.0,15980.0,33199,392.0,33023.0,73000.0,23680.0,25152.0,86800.0,161000,2019
mercedes-benz,2019.0,2021-09-24,suv,parf car,auto,1610.0,120.0,1332.0,1.0,24390.0,68310,586.0,83559.0,45135.0,39344.0,47082.0,195800.0,329000,2021
toyota,2010.0,2010-09-15,mpv,"coe car, premium ad car",auto,1920.0,125.0,2362.0,4.0,14770.0,32914,2293.0,20452.0,160000.0,44006.0,44006.0,91800.0,280000,2010
honda,2022.0,2022-07-29,van,premium ad car,auto,920.0,,658.0,1.0,11380.0,42338,,34392.0,16579.5,16948.0,848.0,92500.0,116000,2022
Subaru,2017.0,2017-04-28,suv,"parf car, premium ad car, sgcarmart warranty cars",auto,1591.0,110.0,1995.0,3.0,14490.0,54405,1208.0,24325.0,115171.0,14556.0,14556.0,48800.0,150000,2017
nissan,2017.0,2017-09-22,suv,parf car,auto,1325.0,85.0,1197.0,2.0,13270.0,42900,508.0,23694.0,93000.0,19881.0,14881.0,50800.0,124800,2017
mercedes-benz,2017.0,2017-09-21,luxury sedan,"parf car, premium ad car, low mileage car, sgcarmart warranty cars",auto,1430.0,90.0,1595.0,1.0,19940.0,44002,740.0,32142.0,61200.0,28815.0,27341.0,78800.0,179888,2017
nissan,2010.0,2011-08-11,luxury sedan,"coe car, premium ad car",auto,1565.0,134.0,2496.0,2.0,8880.0,49716,2332.0,34611.0,166000.0,31127.0,31127.0,61800.0,82000,2011
mercedes-benz,2017.0,2017-07-17,luxury sedan,"parf car, premium ad car",auto,1425.0,115.0,1595.0,1.0,18710.0,50110,740.0,40869.0,103000.0,37239.0,44135.0,75800.0,211000,2017
toyota,2015.0,2015-05-11,mpv,"parf car, premium ad car, sgcarmart warranty cars",auto,1775.0,125.0,2362.0,2.0,16240.0,77600,1638.0,27618.0,110000.0,37090.0,43926.0,33800.0,95000,2015
honda,2007.0,2007-09-11,mid-sized sedan,coe car,auto,1219.0,103.0,1799.0,4.0,12390.0,50355,1467.0,15438.0,147000.0,19547.0,21502.0,38000.0,120000,2007
rolls-royce,2014.0,2017-08-09,luxury sedan,"parf car, rare & exotic, premium ad car, low mileage car",auto,2560.0,338.0,6749.0,1.0,266020.0,48001,8250.0,618480.0,3282.0,531593.0,928868.0,1280000.0,1500000,2017
mercedes-benz,2022.0,2022-07-25,luxury sedan,"parf car, premium ad car",auto,1410.0,96.0,1332.0,2.0,19590.0,74989,586.0,89473.0,16579.5,33792.0,39309.0,177000.0,194000,2022
mercedes-benz,2021.0,2022-04-26,luxury sedan,"parf car, premium ad car, hybrid cars, sgcarmart warranty cars",auto,1550.0,140.0,1496.0,1.0,21820.0,98389,682.0,112817.0,68548.0,40224.0,48314.0,193988.0,202888,2022
toyota,2008.0,2008-05-23,mid-sized sedan,"coe car, low mileage car",auto,1195.0,80.0,1598.0,1.0,11130.0,38192,1113.0,15036.0,101000.0,16994.0,16994.0,43800.0,102000,2008
porsche,2019.0,2019-07-22,suv,"parf car, low mileage car",auto,1985.0,250.0,2995.0,2.0,44810.0,43102,2380.0,109358.0,49000.0,85487.0,125877.0,283800.0,394000,2019
mercedes-benz,2021.0,2022-09-28,suv,"parf car, hybrid cars",auto,1965.0,245.0,1991.0,1.0,29810.0,108051,1202.0,138617.0,26267.0,60213.0,65384.0,279800.0,309888,2022
toyota,2010.0,2011-01-24,mpv,"coe car, direct owner sale",auto,1800.0,125.0,2362.0,4.0,16710.0,32914,2293.0,20452.0,160000.0,43277.0,43277.0,103800.0,150000,2011
Toyota,2018.0,2018-10-02,truck,premium ad car,manual,1760.0,,2982.0,2.0,14630.0,27104,,11651.0,78000.0,27082.0,1355.0,62888.0,110000,2018
bmw,2010.0,2010-12-02,sports car,"coe car, premium ad car, low mileage car",auto,1830.0,309.0,3999.0,2.0,22110.0,40714,5527.0,26336.0,100500.0,87447.0,87447.0,143000.0,375000,2010
hyundai,2023.0,2023-08-01,mid-sized sedan,"parf car, almost new car, premium ad car",auto,1280.0,90.0,1598.0,1.0,14390.0,96501,742.0,91870.0,21000.0,18208.0,5000.0,133888.0,91800,2023
citroen,2019.0,2020-03-20,suv,parf car,auto,1430.0,133.0,1598.0,1.0,13860.0,32801,742.0,38241.0,75000.0,24392.0,26149.0,91800.0,163000,2020
toyota,2017.0,2019-12-13,mpv,"imported used vehicle, parf car, sgcarmart warranty cars",auto,2070.0,206.0,3456.0,3.0,,37900,3100.0,,81735.0,40658.0,48922.0,192800.0,293800,2019
peugeot,2019.0,2020-07-30,suv,"parf car, low mileage car",auto,1430.0,133.0,1598.0,1.0,15000.0,35001,742.0,45672.0,24800.0,28800.0,32320.0,108000.0,138888,2020
bmw,2010.0,2010-09-27,suv,"coe car, premium ad car",auto,2070.0,225.0,2979.0,6.0,14750.0,32914,3307.0,20461.0,139831.5,65232.0,65232.0,91708.0,265000,2010
toyota,2017.0,2018-03-05,van,premium ad car,auto,1760.0,,2982.0,2.0,16220.0,33337,,11883.0,92200.0,29985.0,1500.0,57800.0,160000,2018
land rover,2019.0,2020-12-17,suv,"parf car, premium ad car, low mileage car, hybrid cars",auto,1845.0,147.0,1997.0,2.0,24350.0,41503,1210.0,66543.0,27000.0,43642.0,53099.0,185000.0,346000,2020
mercedes-benz,2023.0,2024-04-02,suv,"parf car, almost new car, premium ad car, low mileage car, electric cars",auto,2690.0,460.0,,1.0,46930.0,96011,6682.0,136809.0,3188.0,115230.0,228736.0,509888.0,482000,2024
toyota,2014.0,2014-06-09,van,"coe car, premium ad car",manual,1740.0,,2982.0,1.0,10770.0,35310,,34613.0,112168.0,27502.0,1376.0,52800.0,123000,2014
volkswagen,2020.0,2021-07-28,suv,parf car,auto,1369.0,85.0,999.0,1.0,14670.0,47010,392.0,50230.0,83975.0,22384.0,23338.0,113800.0,131000,2021
bmw,2014.0,2015-06-03,luxury sedan,"parf car, direct owner sale",auto,1405.0,100.0,1598.0,5.0,20370.0,78001,742.0,16638.0,113600.0,27620.0,20668.0,26800.0,185000,2015
mercedes-benz,2020.0,2021-04-07,suv,"parf car, direct owner sale, low mileage car",auto,1795.0,190.0,1991.0,1.0,29940.0,45001,1202.0,84813.0,65.0,56197.0,73155.0,235800.0,293800,2021
porsche,2022.0,2022-05-20,sports car,"parf car, low mileage car, electric cars",auto,2125.0,240.0,,1.0,45380.0,92090,3242.0,163148.0,18500.0,97792.0,120143.0,420000.0,383000,2022
mercedes-benz,2019.0,2019-07-05,suv,parf car,auto,1435.0,90.0,1595.0,1.0,17780.0,28589,740.0,35477.0,69038.0,25738.0,28034.0,103888.0,198000,2019
nissan,2015.0,2015-06-29,suv,parf car,auto,1285.0,85.0,1197.0,2.0,13030.0,61000,508.0,9907.0,110000.0,19084.0,9084.0,16000.0,94788,2015
nissan,2017.0,2017-12-27,truck,premium ad car,manual,1800.0,,2953.0,2.0,11840.0,57000,,20130.0,129000.0,27176.0,1359.0,41800.0,62400,2017
mercedes-benz,2017.0,2017-10-23,luxury sedan,parf car,auto,1430.0,90.0,1595.0,4.0,20950.0,36001,740.0,28337.0,120000.0,28004.0,26206.0,78888.0,179888,2017
subaru,2016.0,2016-09-30,suv,"parf car, direct owner sale",auto,1566.0,110.0,1995.0,2.0,12970.0,55501,1208.0,22288.0,80000.0,16721.0,16721.0,37000.0,150000,2016
honda,2008.0,2008-04-01,sports car,coe car,manual,1250.0,178.0,2156.0,6.0,34180.0,44998,2094.0,17075.0,168000.0,44845.0,49330.0,129800.0,65000,2008
honda,2017.0,2017-05-22,mid-sized sedan,"parf car, premium ad car",auto,1324.0,127.0,1498.0,4.0,15510.0,54405,684.0,30632.0,91000.0,27298.0,25218.0,56800.0,155000,2017
toyota,2019.0,2020-03-24,mid-sized sedan,"parf car, premium ad car",auto,1100.0,79.0,1496.0,2.0,13340.0,32500,682.0,30431.0,45760.0,15572.0,15572.0,84800.0,86988,2020
honda,2017.0,2018-03-01,hatchback,"parf car, premium ad car",auto,1052.0,73.0,1318.0,2.0,13010.0,40000,578.0,17905.0,80000.0,15224.0,5224.0,49800.0,82500,2018
porsche,2005.0,2005-06-27,sports car,"parf car, consignment car",auto,1430.0,176.0,2687.0,6.0,,72136,3027.0,,197000.0,74337.0,81771.0,52888.0,294000,2005
honda,2017.0,2017-05-11,suv,"parf car, premium ad car",auto,1190.0,96.0,1496.0,2.0,14420.0,52000,682.0,24820.0,140000.0,22195.0,18073.0,47800.0,137800,2017
nissan,2022.0,2022-10-14,mpv,"parf car, premium ad car, hybrid cars",auto,1758.0,100.0,1198.0,1.0,19530.0,108051,802.0,99726.0,29978.0,29081.0,17714.0,170000.0,180000,2022
bmw,2014.0,2015-06-03,luxury sedan,"parf car, premium ad car",auto,1410.0,125.0,1598.0,4.0,15360.0,78001,742.0,19325.0,180000.0,32099.0,26939.0,25000.0,220000,2015
suzuki,2008.0,2009-03-27,suv,"coe car, premium ad car, sgcarmart warranty cars",auto,1555.0,103.0,1995.0,5.0,11370.0,32279,1812.0,,145000.0,20301.0,20301.0,49800.0,107800,2009
audi,2020.0,2020-12-29,luxury sedan,"parf car, low mileage car, hybrid cars",auto,1515.0,110.0,1984.0,3.0,17890.0,39000,1194.0,55713.0,28000.0,34789.0,40705.0,135888.0,239800,2020
bentley,2021.0,2021-06-15,luxury sedan,"parf car, rare & exotic, low mileage car",auto,2405.0,404.0,3996.0,1.0,102210.0,60109,3944.0,320348.0,23000.0,222634.0,372742.0,880000.0,675000,2021
volkswagen,2015.0,2015-12-23,hatchback,"parf car, direct owner sale, low mileage car",auto,1249.0,90.0,1395.0,1.0,14880.0,59200,624.0,14039.0,85000.0,19158.0,9158.0,27200.0,93000,2015
bmw,2009.0,2009-07-31,sports car,"coe car, low mileage car",auto,1430.0,150.0,2497.0,5.0,15680.0,31933,2694.0,15039.0,131000.0,54339.0,54339.0,73880.0,179000,2009
honda,2011.0,2011-11-18,sports car,"coe car, consignment car, hybrid cars",manual,1160.0,84.0,1497.0,4.0,13110.0,46482,889.0,34308.0,128266.5,31400.0,18840.0,96800.0,90000,2011
toyota,2008.0,2008-11-25,mid-sized sedan,coe car,auto,1195.0,80.0,1598.0,3.0,8930.0,29670,1113.0,12559.0,145000.0,16084.0,16084.0,37800.0,106000,2008
mazda,2008.0,2009-01-10,sports car,"coe car, premium ad car",manual,1350.0,173.0,1308.0,6.0,18980.0,26047,858.0,11910.0,161000.0,39850.0,39850.0,86800.0,40000,2009
Nissan,2016.0,2016-09-30,suv,parf car,auto,1285.0,85.0,1197.0,1.0,12900.0,50000,508.0,19665.0,114000.0,18689.0,13689.0,36388.0,94788,2016
nissan,2022.0,2023-06-21,hatchback,"parf car, premium ad car, hybrid cars",auto,1220.0,85.0,1198.0,1.0,14110.0,98001,714.0,82484.0,12300.0,20317.0,5444.0,128800.0,120000,2023
maserati,2019.0,2019-08-23,suv,"parf car, premium ad car, low mileage car",auto,2109.0,257.0,2979.0,1.0,38550.0,40001,2362.0,105985.0,23888.0,78931.0,114076.0,253888.0,423000,2019
honda,2009.0,2010-06-07,mpv,"coe car, low mileage car",auto,1680.0,132.0,2354.0,1.0,12800.0,33568,2279.0,20012.0,73000.0,34592.0,34592.0,76333.0,170000,2010
jaguar,2017.0,2018-02-28,luxury sedan,"parf car, premium ad car",auto,1679.0,147.0,1998.0,2.0,15320.0,38801,1210.0,41640.0,70000.0,36345.0,42883.0,75800.0,218000,2018
toyota,2021.0,2021-10-22,luxury sedan,"parf car, hybrid cars",auto,1570.0,160.0,2487.0,2.0,18750.0,64901,1784.0,67209.0,40000.0,37748.0,29848.0,152800.0,201800,2021
Mercedes-Benz,2016.0,2018-04-20,luxury sedan,"parf car, premium ad car",auto,1465.0,135.0,1991.0,2.0,22210.0,39903,1202.0,56859.0,68000.0,51314.0,64366.0,115800.0,267888,2018
subaru,2018.0,2019-12-27,suv,"parf car, sgcarmart warranty cars",auto,1591.0,115.0,1995.0,2.0,16870.0,36000,1208.0,31348.0,83000.0,15628.0,15628.0,99788.0,139800,2019
Toyota,2020.0,2021-02-22,van,premium ad car,auto,1800.0,,2754.0,2.0,14200.0,28424,,18573.0,53195.0,35623.0,1782.0,92800.0,123000,2021
toyota,2021.0,2021-05-03,mpv,"parf car, premium ad car",auto,2030.0,134.0,2493.0,1.0,28010.0,52200,1792.0,84381.0,79730.0,52275.0,66095.0,219800.0,420000,2021
porsche,2010.0,2011-01-19,sports car,"coe car, consignment car",auto,1760.0,300.0,3605.0,6.0,17290.0,40714,4665.0,26023.0,139831.5,107660.0,107660.0,110500.0,412000,2011
chevrolet,2017.0,2017-07-21,mpv,"parf car, premium ad car",auto,1650.0,103.0,1362.0,2.0,11960.0,49802,604.0,24063.0,76815.0,15704.0,15704.0,43000.0,115000,2017
mazda,2017.0,2017-06-20,mpv,parf car,auto,1535.0,111.0,1998.0,1.0,12020.0,50526,1210.0,26049.0,91000.0,19513.0,19513.0,43888.0,106800,2017
honda,2018.0,2018-12-11,suv,parf car,auto,1190.0,96.0,1496.0,1.0,15700.0,25556,682.0,20579.0,75000.0,22146.0,13005.0,77000.0,125000,2018
bmw,2017.0,2017-11-03,luxury sedan,"parf car, premium ad car",auto,1425.0,100.0,1499.0,3.0,17780.0,52000,684.0,39792.0,99000.0,34419.0,35187.0,77800.0,193000,2017
kia,2017.0,2018-07-03,mid-sized sedan,"parf car, premium ad car",auto,1295.0,95.0,1591.0,2.0,13580.0,36426,738.0,22871.0,119000.0,11602.0,11602.0,60800.0,93300,2018
mercedes-benz,2015.0,2016-02-04,luxury sedan,"parf car, premium ad car",auto,1465.0,135.0,1991.0,3.0,22710.0,62101,1202.0,35022.0,145000.0,41555.0,45177.0,59800.0,200000,2016
toyota,2018.0,2019-01-25,mpv,"parf car, premium ad car",auto,2030.0,134.0,2493.0,1.0,28870.0,32909,1792.0,57674.0,58000.0,49426.0,61197.0,163800.0,303888,2019
honda,2016.0,2016-08-25,suv,parf car,auto,1190.0,96.0,1496.0,3.0,13890.0,52503,682.0,17306.0,118000.0,20273.0,10383.0,34500.0,120000,2016
mercedes-benz,2009.0,2009-11-11,luxury sedan,"coe car, direct owner sale",auto,1850.0,200.0,3498.0,3.0,,18751,4746.0,1418.0,149999.0,98986.0,98986.0,11999.0,300000,2009
renault,2019.0,2021-01-30,mpv,"parf car, premium ad car",auto,1501.0,81.0,1461.0,2.0,11930.0,38504,1048.0,32084.0,152281.0,23315.0,9641.0,81800.0,90000,2021
toyota,2016.0,2016-10-14,mid-sized sedan,parf car,auto,1215.0,90.0,1598.0,2.0,15380.0,51507,742.0,23989.0,103000.0,19990.0,19990.0,45800.0,105000,2016
nissan,2019.0,2019-09-26,van,premium ad car,manual,1800.0,,2488.0,1.0,10960.0,21157,,11002.0,62000.0,25655.0,1283.0,56988.0,71788,2019
bmw,2021.0,2023-02-24,sports car,"imported used vehicle, parf car, rare & exotic, low mileage car",auto,1800.0,375.0,2993.0,1.0,,115001,2378.0,,7000.0,52540.0,71826.0,398000.0,410000,2023
nissan,2020.0,2021-04-23,mid-sized sedan,"parf car, sgcarmart warranty cars",auto,1205.0,85.0,1598.0,1.0,12580.0,45600,742.0,43301.0,42340.0,17007.0,17007.0,92800.0,101800,2021
honda,2019.0,2020-02-06,stationwagon,"parf car, premium ad car",auto,1130.0,95.0,1496.0,1.0,12970.0,35010,682.0,27240.0,72000.0,19962.0,9962.0,78200.0,125000,2020
mercedes-benz,2019.0,2019-05-09,hatchback,"parf car, direct owner sale",auto,1455.0,165.0,1991.0,1.0,24120.0,35403,1202.0,50396.0,80000.0,39739.0,47635.0,139999.0,228888,2019
volkswagen,2016.0,2017-04-28,mid-sized sedan,"parf car, premium ad car",auto,1417.0,90.0,1390.0,3.0,15780.0,53001,620.0,27239.0,98000.0,20820.0,21148.0,55800.0,127000,2017
honda,2015.0,2016-07-12,mpv,"parf car, low mileage car",auto,1510.0,110.0,1496.0,1.0,16520.0,49000,682.0,26626.0,76889.0,25329.0,27461.0,47999.0,168000,2016
toyota,2008.0,2009-05-25,mid-sized sedan,coe car,auto,1200.0,81.0,1496.0,4.0,9130.0,25525,1023.0,11693.0,145000.0,18622.0,18622.0,41800.0,104000,2009
bmw,2018.0,2019-04-29,luxury sedan,parf car,auto,1720.0,190.0,1998.0,3.0,25410.0,43102,1210.0,107717.0,52000.0,84372.0,123870.0,185800.0,384000,2019
Toyota,2009.0,2009-12-17,mpv,coe car,auto,1380.0,106.0,1987.0,4.0,11570.0,37502,1797.0,19378.0,149000.0,22003.0,22003.0,59800.0,80000,2009
mercedes-benz,2019.0,2019-06-26,suv,parf car,auto,1435.0,90.0,1595.0,2.0,17870.0,27000,740.0,37468.0,115661.0,28463.0,31849.0,105800.0,198000,2019
honda,2017.0,2018-03-13,mpv,"parf car, premium ad car",auto,1776.0,129.0,2356.0,2.0,20330.0,39000,1630.0,33340.0,86000.0,26982.0,29775.0,87800.0,145000,2018
audi,2015.0,2016-06-14,luxury sedan,"parf car, premium ad car, low mileage car",auto,1645.0,140.0,1798.0,1.0,17970.0,56000,976.0,34400.0,75633.0,39435.0,42209.0,57000.0,192000,2016
honda,2008.0,2008-04-28,sports car,coe car,manual,1260.0,178.0,2156.0,6.0,37660.0,40881,2094.0,15815.0,145000.0,36088.0,36088.0,145800.0,95000,2008
honda,2016.0,2017-08-30,suv,"parf car, premium ad car",auto,1210.0,96.0,1496.0,2.0,13670.0,42900,682.0,25394.0,96000.0,22080.0,17912.0,52800.0,107800,2017
tesla,2021.0,2021-09-30,luxury sedan,"parf car, premium ad car, electric cars",auto,1844.0,377.0,,2.0,17000.0,61001,5384.0,86630.0,51127.0,72142.0,56856.0,151000.0,179800,2021
honda,2016.0,2016-06-02,suv,parf car,auto,1190.0,96.0,1496.0,3.0,18260.0,47020,682.0,14706.0,139712.0,19968.0,9968.0,40800.0,120000,2016
honda,2022.0,2023-01-11,van,premium ad car,auto,960.0,,658.0,1.0,8830.0,60677,,52049.0,20000.0,17630.0,882.0,75800.0,116000,2023
mercedes-benz,2017.0,2017-08-11,luxury sedan,"parf car, premium ad car",auto,1425.0,115.0,1595.0,2.0,19450.0,47501,740.0,43276.0,105000.0,37239.0,44135.0,81800.0,211000,2017
audi,2020.0,2020-10-30,suv,"parf car, premium ad car",auto,1545.0,110.0,1395.0,2.0,20770.0,40301,624.0,48980.0,42605.0,27881.0,31034.0,148000.0,163000,2020
toyota,2019.0,2021-05-19,mpv,"parf car, hybrid cars",auto,2110.0,145.0,2493.0,1.0,25550.0,45001,1792.0,75656.0,43800.0,49000.0,60600.0,201800.0,367000,2021
audi,2019.0,2019-10-31,luxury sedan,parf car,auto,1535.0,140.0,1984.0,2.0,20330.0,42020,1194.0,56332.0,84325.0,38532.0,45945.0,128800.0,223800,2019
honda,2016.0,2019-07-22,suv,"parf car, premium ad car",auto,1210.0,96.0,1496.0,1.0,15400.0,27000,682.0,33586.0,56000.0,24583.0,26417.0,91800.0,155000,2019
mercedes-benz,2020.0,2020-12-21,suv,"parf car, premium ad car",auto,1555.0,120.0,1332.0,1.0,24240.0,39000,586.0,57807.0,44818.0,36865.0,43611.0,177800.0,271888,2020
mercedes-benz,2018.0,2019-02-28,luxury sedan,"parf car, direct owner sale",auto,1430.0,90.0,1595.0,2.0,17890.0,26170,740.0,34347.0,67000.0,28763.0,32269.0,96500.0,179888,2019
mercedes-benz,2019.0,2019-12-17,suv,"parf car, premium ad car",auto,1435.0,90.0,1595.0,2.0,18750.0,32000,740.0,40323.0,51000.0,27810.0,30934.0,115800.0,198000,2019
mercedes-benz,2022.0,2022-10-21,suv,"parf car, premium ad car",auto,1550.0,96.0,1332.0,1.0,20950.0,86000,586.0,99612.0,24000.0,35059.0,41083.0,193800.0,197000,2022
lexus,2010.0,2010-07-29,luxury sedan,"coe car, premium ad car",auto,1625.0,153.0,2500.0,5.0,15820.0,33568,2520.0,20545.0,146000.0,38495.0,38495.0,96800.0,130000,2010
mini,2011.0,2011-08-24,sports car,"coe car, premium ad car, low mileage car",auto,1255.0,135.0,1598.0,5.0,14510.0,42283,965.0,29077.0,84000.0,32703.0,32703.0,99800.0,120000,2011
toyota,2016.0,2017-01-12,bus/mini bus,-,auto,1960.0,,2982.0,3.0,16230.0,38335,,9873.0,253000.0,36120.0,1806.0,41800.0,190000,2017
land rover,2016.0,2017-03-28,suv,parf car,auto,1841.0,177.0,1999.0,1.0,18910.0,53001,1212.0,48593.0,114000.0,46017.0,56424.0,80800.0,189888,2017
nissan,2016.0,2016-12-16,hatchback,"parf car, low mileage car",auto,1081.0,72.0,1198.0,1.0,11060.0,48000,508.0,13981.0,56136.0,14495.0,5000.0,27800.0,75000,2016
isuzu,2019.0,2021-01-25,truck,-,manual,14540.0,,15681.0,1.0,33080.0,33778,,22340.0,62000.0,106941.0,5348.0,218800.0,180000,2021
kia,2018.0,2019-01-11,mid-sized sedan,"parf car, premium ad car",auto,1287.0,93.0,1591.0,1.0,12720.0,25000,738.0,18869.0,117573.0,11173.0,11173.0,61800.0,120000,2019
Volkswagen,2020.0,2021-01-28,sports car,"parf car, premium ad car",auto,1526.0,213.0,1984.0,3.0,27430.0,49500,1194.0,68827.0,45869.0,40211.0,48296.0,205800.0,265000,2021
